'id_car_option_value','id_car_option','id_car_equipment','is_base','date_create','date_update','id_car_type'
'17993','1003','286','1','1464484351','1464484351','1'
'17994','1066','286','1','1464484351','1464484351','1'
'17995','83','286','1','1464484351','1464484351','1'
'17996','648','286','1','1464484351','1464484351','1'
'17997','1004','286','1','1464484351','1464484351','1'
'17998','1006','286','0','1464484351','1464845188','1'
'17999','1008','286','0','1464484351','1464845188','1'
'18000','22','286','0','1464484351','1464845188','1'
'18001','1010','286','1','1464484351','1464484351','1'
'18002','1067','286','1','1464484351','1464484351','1'
'18003','25','286','0','1464484351','1464845188','1'
'18004','1068','286','1','1464484352','1464484352','1'
'18005','260','286','1','1464484352','1464484352','1'
'18006','29','286','1','1464484352','1464484352','1'
'18007','513','286','1','1464484352','1464484352','1'
'18008','245','286','1','1464484352','1464484352','1'
'18009','213','286','1','1464484352','1464484352','1'
'18010','31','286','1','1464484352','1464484352','1'
'18011','552','286','1','1464484352','1464484352','1'
'18012','1019','286','1','1464484352','1464484352','1'
'18013','1020','286','1','1464484352','1464484352','1'
'18014','896','286','1','1464484352','1464484352','1'
'18015','1069','286','1','1464484352','1464484352','1'
'18016','200','286','1','1464484352','1464484352','1'
'18017','218','286','1','1464484352','1464484352','1'
'18018','1070','286','1','1464484352','1464484352','1'
'18019','407','286','1','1464484352','1464484352','1'
'18020','33','286','1','1464484352','1464484352','1'
'18021','1071','286','1','1464484352','1464484352','1'
'18022','162','286','1','1464484352','1464484352','1'
'18023','455','286','1','1464484352','1464484352','1'
'18024','1072','286','1','1464484352','1464484352','1'
'18025','35','286','1','1464484352','1464484352','1'
'18026','1057','286','1','1464484352','1464484352','1'
'18027','1073','286','1','1464484352','1464484352','1'
'18028','264','286','1','1464484352','1464484352','1'
'18029','1074','286','1','1464484352','1464484352','1'
'18030','1075','286','1','1464484352','1464484352','1'
'18031','1027','286','1','1464484352','1464484352','1'
'18032','1030','286','1','1464484352','1464484352','1'
'18033','589','286','1','1464484352','1464484352','1'
'18034','636','286','1','1464484352','1464484352','1'
'18035','1032','286','1','1464484352','1464484352','1'
'18036','1033','286','1','1464484352','1464484352','1'
'18037','1076','286','1','1464484352','1464484352','1'
'18038','620','286','1','1464484352','1464484352','1'
'18039','945','286','1','1464484352','1464484352','1'
'18040','1077','286','1','1464484352','1464484352','1'
'18041','1038','286','1','1464484352','1464484352','1'
'18042','1078','286','1','1464484352','1464484352','1'
'18043','1079','286','1','1464484352','1464484352','1'
'18044','1040','286','1','1464484352','1464484352','1'
'18045','78','286','1','1464484352','1464484352','1'
'18047','130','286','1','1464484352','1464484352','1'
'18048','1041','286','1','1464484352','1464484352','1'
'18049','266','286','1','1464484352','1464484352','1'
'18050','901','286','1','1464484352','1464484352','1'
'18051','232','286','1','1464484352','1464484352','1'
'18052','1043','286','1','1464484352','1464484352','1'
'18053','722','286','1','1464484352','1464484352','1'
'18054','1046','286','1','1464484352','1464484352','1'
'18055','1047','286','1','1464484352','1464484352','1'
'18056','86','286','1','1464484352','1464484352','1'
'18057','1048','286','1','1464484352','1464484352','1'
'18058','1080','286','1','1464484352','1464484352','1'
'18059','1081','286','1','1464484352','1464484352','1'
'18060','235','286','1','1464484352','1464484352','1'
'18061','236','286','1','1464484352','1464484352','1'
'18062','216','286','1','1464484352','1464484352','1'
'18063','1082','286','1','1464484352','1464484352','1'
'18064','664','286','1','1464484352','1464484352','1'
'18065','1083','286','1','1464484352','1464484352','1'
'18066','1084','286','1','1464484352','1464484352','1'
'18067','176','286','1','1464484352','1464484352','1'
'18068','1050','286','1','1464484352','1464484352','1'
'18069','627','286','1','1464484352','1464484352','1'
